Text,Speaker,Episode,Season,Show
 Take me to your crypt. I want to pay my respects.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
" We've been riding for a month, my love. Surely the dead can wait.",CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
 Ned.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Where's the Imp?,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
"[CERSEI, humiliated in front of all, walks back to JAIME.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Where is our brother? Go find the little beast.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene changes to the crypt.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Tell me about Jon Arryn.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
" One minute he was fine, and then É?? Burned right through him, whatever it was. I loved that man.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 We both did.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
" He never had to teach you much, but me É?? You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Aye.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
" Don't look at me like that. Not his fault I didn't listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Ned Stark, I would name you the Hand of the king.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
[NED kneels.],,e1-Winter is Coming,season-01,Game-of-Thrones
 I'm not worthy of the honor.,Ned Stark,e1-Winter is Coming,season-01,Game-of-Thrones
" I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene changes to JAIME in the Winterfell settlement. We see Tyrion inside a whorehouse, swilling liquor and laughing as a woman pops into view after servicing him.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Mmh. It is true what they say about the Northern girls.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 Did you hear the king's in Winterfell?,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 I did hear something about that.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 And the other brother?,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 The queen has two brothers?,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 There's the pretty one. And there's the clever one.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 I hear they call him the Imp.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
